"zone","state","lga","sector","ea","hhid","indiv","s4aq1","s4aq2a","s4aq2b","s4aq2c","s4aq3","s4aq4","s4aq5","s4aq6a","s4aq6b","s4aq6c","s4aq7a","s4aq7b","s4aq7c","s4aq8a","s4aq8b","s4aq8c","s4aq9","s4aq10","s4aq11a","s4aq11b","s4aq12a","s4aq12b","s4aq13","s4aq14","s4aq15","s4aq16","s4aq17","s4aq18","s4aq19","s4aq20","s4aq20b","s4aq21","s4aq22a","s4aq22b","s4aq22c","s4aq22d","s4aq22e","s4aq23","s4aq24","s4aq25","s4aq26","s4aq27","s4aq28","s4aq29","s4aq30","s4aq31","s4aq32","s4aq33","s4aq34","s4aq35","s4aq35b","s4aq35c","s4aq36","s4aq36b","s4aq37","s4aq38","s4aq39","s4aq40","s4aq41","s4aq42","s4aq43","s4aq44a","s4aq44b","s4aq45a","s4aq45b","s4aq46","s4aq47","s4aq48","s4aq49","s4aq50","s4aq51","s4aq52","s4aq53","s4aq54","s4aq54b","trackingobs"
4,1,115,1,670,10006,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,1680,1,,1680,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,115,1,670,10006,2,1,1,,,3,,,,,,,,,,,,,,,,,,1,20000,2,,,1,20000,2,,0,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,1,1,2,1,2,,,,,,0
4,1,115,1,670,10008,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,2,1,1,2,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
4,1,115,1,670,10008,2,1,1,,,1,2,,2,,,1,,,1,,,5000,200,,20,,45,2,,2,,,1,2000,1,,,2,1,1,2,2,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,1,0,0,0,0,1,1,1,1,2,,,,,,0
4,1,115,1,670,10008,3,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,4,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,250,3,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,5,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,1,2,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,6,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,500,3,,,1,1,1,1,2,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,7,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,300,3,,,1,1,1,2,2,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,1,2,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,1,760,1,,760,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,,,,,4,,,2,,2,,,,,,,,,,,2,,,,,0
